station,101,103,305,207,309,211,313,215,217,319,221,323,225,227,329,231,233,135,237,139,143,147,151,155,257,159,261,263,365,267,269,371,273,375,277,279,381,283,385,287,289,191,193,195,197,199,102,104,206,208,210,312,314,216,218,220,322,324,226,228,230,332,134,236,138,142,146,150,152,254,156,258,360,262,264,366,268,370,272,274,376,278,380,282,284,386,288,190,192,194,196,198
Gilroy,,,,,,,,,6:07,,6:28,,,7:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:30,,,,,,19:07,,,19:49,,,,,,,,,,,,
San Martin,,,,,,,,,6:16,,6:37,,,7:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:17,,,,,,18:54,,,19:36,,,,,,,,,,,,
Morgan Hill,,,,,,,,,6:22,,6:43,,,7:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:11,,,,,,18:48,,,19:30,,,,,,,,,,,,
Blossom Hill,,,,,,,,,6:35,,6:56,,,7:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:58,,,,,,18:35,,,19:17,,,,,,,,,,,,
Capitol,,,,,,,,,6:41,,7:02,,,7:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:52,,,,,,18:29,,,19:11,,,,,,,,,,,,
Tamien,,4:58,,5:50,5:56,,,,6:49,6:56,7:10,,,7:47,7:56,,8:33,,9:33,,,,,,14:33,,15:37,15:58,,,16:32,,16:58,,,17:32,,17:58,,18:24,,,,20:23,21:23,,,7:03,,7:50,8:13,,,,8:50,9:12,,,,9:50,10:12,,,11:07,,,,,,16:07,16:45,17:07,,,,17:39,18:22,,,19:04,18:39,19:23,,,,19:39,20:19,,22:18,23:18,,
San Jose Diridon,4:30,5:05,5:45,5:57,6:03,6:20,6:45,6:50,6:57,7:03,7:18,7:45,7:50,7:55,8:03,8:20,8:40,9:10,9:40,10:10,11:10,12:10,13:10,14:10,14:40,15:05,15:44,16:05,16:23,16:31,16:39,16:45,17:05,17:23,17:31,17:39,17:45,18:05,18:23,18:31,18:45,18:50,19:30,20:30,21:30,22:30,6:26,6:56,7:24,7:43,8:06,7:58,8:13,8:28,8:43,9:05,8:58,9:13,9:28,9:43,10:05,9:58,10:38,11:00,11:38,12:38,13:38,14:38,15:38,16:00,16:39,17:00,17:06,17:27,17:57,17:32,18:16,18:11,18:28,18:58,18:32,19:16,19:11,19:28,19:57,19:32,20:12,21:01,22:11,23:11,12:11,1:32
College Park,,,,,,,,,,,,,,7:58,,,,,,,,,,,,15:08,,,,,,,,,,,,,,,,,,,,,,,,,7:59,,,,,,,,,,,,,,,,,,,,16:32,,,,,,,,,,,,,,,,,,,,,
Santa Clara,4:35,5:10,,6:02,,6:25,,,7:02,,7:23,,,8:02,,8:25,8:45,9:15,9:45,10:15,11:15,12:15,13:15,14:15,14:45,15:12,15:49,16:10,,,16:44,,17:10,,,17:44,,18:10,,,,18:55,19:35,20:35,21:35,22:35,6:17,6:47,,7:34,7:56,,,,8:34,8:56,,,,9:34,9:56,,10:29,10:51,11:29,12:29,13:29,14:29,15:29,15:51,16:29,16:51,,,17:49,,18:08,,,18:50,,19:08,,,19:49,,20:04,20:52,22:02,23:02,12:02,1:23
Lawrence,4:40,5:15,,6:12,,,,,7:12,,7:28,,,8:12,,,8:50,9:20,9:50,10:20,11:20,12:20,13:20,14:20,14:50,15:17,15:54,,,16:39,16:52,,,,17:39,17:52,,,,18:39,18:53,19:00,19:40,20:40,21:40,22:40,6:12,6:42,7:12,,7:49,,,8:16,,8:49,,,9:16,,9:49,,10:24,10:46,11:24,12:24,13:24,14:24,15:24,15:46,16:24,16:46,,,,,18:01,,,18:45,,19:01,,,,,19:59,20:47,21:57,22:57,23:57,1:18
